belongs_to_collection,homepage,budget,popularity,runtime,production_companies,production_countries
1,1,22649291,4,90,0,10
0,0,88000,4,65,2384,1
0,0,22649291,8,100,2385,1
0,1,6800000,9,130,2386,67
0,0,2000000,3,92,0,1
0,0,22649291,9,121,2387,1
0,0,22649291,5,119,2388,121
0,1,30000000,7,77,2,1
0,1,16500000,8,120,2389,18
1,1,90000000,18,92,1235,1
0,0,2000000,0,88,2390,1
0,0,22649291,4,112,2391,8
1,0,5000000,11,109,2392,322
0,1,800000,1,88,0,1
0,1,20000000,8,114,2393,1
0,1,22649291,2,100,2394,1
1,1,36000000,12,101,2395,1
0,0,100000000,10,119,2396,323
0,0,22649291,6,123,2397,1
0,1,200000000,27,194,2398,1
0,0,30000000,10,100,2399,1
0,1,20000000,14,101,2400,1
0,0,22649291,1,105,2401,1
0,0,27000000,8,99,2402,24
0,0,22649291,4,105,2403,0
0,0,35000000,10,128,2404,1
0,0,5000000,3,100,76,324
0,1,44000000,13,128,2405,1
1,1,500000,1,84,2406,325
0,0,35000000,11,94,342,1
0,0,2000000,12,101,2407,1
0,0,2200000,4,157,2408,2
0,0,250,1,72,2409,1
0,0,300000,0,101,2410,326
0,0,22649291,6,83,2411,1
0,0,5500000,11,97,2412,37
1,0,18000000,12,94,2413,1
0,1,10000000,17,97,2414,327
0,0,12516654,7,78,2415,328
0,0,22649291,4,80,2416,6
0,1,12000000,6,94,2417,1
0,0,22649291,2,95,2418,1
1,1,5000000,6,83,2419,1
0,0,6000000,5,98,2420,8
1,1,140000000,19,124,927,1
0,0,22649291,2,107,2421,329
0,0,22649291,10,100,45,1
0,1,17000000,7,122,2422,21
1,0,22649291,7,110,2423,1
1,0,3500000,14,118,2424,1
0,0,50,1,98,2425,1
0,0,20000000,7,94,2426,21
0,1,22649291,1,90,2427,1
0,0,22649291,1,183,0,2
0,0,34000000,8,139,76,1
0,0,22649291,1,83,1204,28
0,0,50000000,11,95,26,1
0,1,200000000,11,140,2428,18
0,0,22649291,1,153,2429,330
0,0,50000000,8,140,2430,21
1,0,14000000,12,107,2431,1
0,1,22649291,16,117,2432,156
0,0,18000000,12,103,2433,1
0,0,65000000,5,127,2434,148
0,1,20000000,7,106,2435,1
