belongs_to_collection,budget,genres,homepage,original_language,popularity,production_companies,production_countries,release_date,runtime,status,revenue
1,14000000,1,0,1,7,1,1,1,93,1,12314651
1,40000000,2,0,1,8,2,1,3,113,1,95149435
0,3300000,3,1,1,64,3,1,4,105,1,13092000
0,1200000,4,1,2,3,0,2,1,122,1,16000000
0,22531334,5,0,3,1,0,3,1,118,1,3923970
0,8000000,6,0,1,1,0,0,3,83,1,3261638
0,14000000,7,1,1,7,4,4,3,92,1,85446075
0,22531334,8,0,1,2,0,0,1,84,1,2586511
1,22531334,9,0,1,7,5,1,1,100,1,34327391
0,6000000,10,0,1,5,6,1,2,91,1,18750246
1,1000000,3,0,1,15,7,1,4,119,1,117235147
1,22531334,1,0,1,11,8,1,3,98,1,22642033
0,15000000,3,1,1,21,9,1,3,122,1,356296601
1,53000000,11,0,1,13,10,1,1,118,1,95226116
0,102000000,12,0,1,21,11,1,2,145,1,358372926
0,500000,13,1,4,1,12,5,4,97,1,198
0,26000000,7,0,1,6,13,1,3,85,1,57891803
0,22531334,14,0,1,4,14,6,4,111,1,1234254
0,8000000,15,0,1,6,15,7,1,96,1,1749457
1,32000000,16,0,1,11,16,8,3,87,1,85167639
0,80000000,17,0,1,12,17,1,2,130,1,136159423
1,4000000,7,0,1,8,18,1,3,95,1,36690067
1,22531334,18,1,1,8,19,1,3,116,1,100345
0,22531334,19,1,1,1,20,1,3,92,1,17011
0,22531334,20,1,1,7,21,9,3,87,1,4947717
0,22531334,21,0,1,1,22,10,4,95,1,8403433
0,10000000,22,0,1,4,23,1,3,110,1,13835130
0,11000000,23,0,1,11,24,11,3,93,1,7847000
0,6000000,24,0,1,7,25,1,3,84,1,5849647
0,45000000,25,0,1,8,26,1,2,89,1,94935764
0,13000000,26,0,5,16,27,8,4,112,1,426480871
0,22531334,27,1,5,6,28,12,2,117,1,36000000
0,90000000,28,1,1,13,29,1,4,106,1,146936910
1,22531334,29,0,1,8,30,13,4,125,1,7171
1,140000000,30,0,1,10,31,1,3,91,1,258022233
0,30000000,31,1,1,8,32,1,2,94,1,40346186
0,22531334,15,0,1,2,33,14,1,105,1,151559
0,50000000,32,0,1,14,34,1,1,127,1,189859560
0,22531334,33,1,1,0,0,0,3,90,1,92100
0,3800000,34,0,1,3,35,1,2,123,1,14873
1,22531334,35,1,1,3,36,1,2,118,1,163000
0,3000000,36,0,1,10,37,1,2,126,1,16217773
0,25000000,1,0,1,3,38,1,1,108,1,24362772
0,6000000,3,0,1,9,39,1,3,92,1,1020921
0,15000000,15,1,1,6,40,1,1,88,1,47175038
0,3906840,37,0,6,2,41,15,4,95,1,4300000
1,80000000,38,1,1,17,42,1,1,91,1,660940780
0,44000000,39,1,1,20,43,1,4,167,1,155760117
0,22531334,26,0,1,9,44,1,1,94,1,653951
1,38000000,40,0,1,8,26,1,4,118,1,120000000
0,560000,41,1,7,2,0,16,1,102,1,1500000
0,12000000,42,0,1,4,45,1,3,160,1,25333333
0,22531334,43,0,1,1,46,1,2,97,1,11000000
0,22531334,44,1,1,5,47,1,1,98,1,17514553
0,20000000,45,0,1,9,48,1,1,107,1,46069568
0,22531334,46,0,1,9,49,1,3,95,1,36448200
0,22531334,47,1,5,3,50,17,3,97,1,1056938
1,125000000,48,0,1,17,51,18,2,125,1,238207122
0,22531334,49,1,1,2,52,1,2,95,1,119563
0,14000000,50,0,1,4,31,1,1,95,1,25482931
1,150000000,51,1,1,23,53,19,4,144,1,599045960
0,4000000,3,0,1,2,54,1,2,105,1,14400000
0,22531334,52,0,1,6,55,1,1,124,1,25232289
1,5000000,7,0,1,8,56,1,3,100,1,14000000
0,12000000,53,0,1,11,57,1,3,115,1,17654912
1,1500000,45,0,1,9,58,1,1,92,1,11806119
0,12000000,54,0,1,5,59,1,1,108,1,204940
0,22531334,3,0,8,6,60,20,4,133,1,154120
0,2000000,36,0,1,14,61,1,4,129,1,13129846
1,85000000,55,1,1,2,61,10,2,104,1,158468292
0,29000000,56,0,1,12,62,21,1,103,1,21126225
0,22531334,3,1,9,8,63,22,1,126,1,16756372
0,11000000,10,0,1,8,64,1,2,85,1,8266343
0,22531334,57,1,10,1,0,23,1,90,1,17393
0,445000,36,0,1,2,65,1,1,84,1,2300000
1,17000000,20,1,1,10,66,18,3,106,1,24922237
0,500000,58,0,11,1,0,2,2,157,1,500000
1,6000000,1,0,1,10,67,1,3,98,1,39846344
0,22531334,59,0,1,3,68,1,4,122,1,35610100
0,1500000,7,1,1,7,69,18,3,102,1,779820
0,15000000,55,0,1,5,70,24,4,118,1,9237470
0,10284523,46,0,1,4,71,1,4,104,1,11588205
0,43000000,60,0,1,11,72,21,3,104,1,91974818
1,28000000,61,0,1,7,73,1,4,116,1,40400657
0,2000000,62,0,1,10,74,25,1,85,1,13101672
0,50000000,63,0,1,7,75,1,2,109,1,152022101
0,8000000,3,0,1,10,76,1,4,105,1,106260000
0,7500000,64,0,12,12,77,26,1,91,1,32392047
0,20000000,65,1,1,14,78,27,1,126,1,13162475
0,22531334,66,0,1,4,79,25,1,109,1,140081992
1,30000000,67,1,1,25,80,1,4,111,1,180949000
0,22531334,3,0,6,4,81,15,1,106,1,215339
0,35000000,68,0,1,2,82,8,3,135,1,15000000
0,22531334,65,0,1,14,83,6,2,96,1,2724474
0,15000000,69,0,1,18,84,25,2,147,1,20117339
0,22531334,3,0,13,0,85,28,4,72,1,14353
0,2500000,70,0,5,3,86,8,4,98,1,3358
0,22531334,71,0,13,1,87,28,2,158,1,73000
0,10500000,72,0,9,11,88,29,3,90,1,23000000
0,6000000,13,0,1,6,89,1,2,120,1,46616067
0,7000000,73,0,1,8,90,1,1,91,1,9229401
0,60000000,14,1,1,12,91,1,4,135,1,313542341
0,22531334,74,0,3,1,92,3,3,102,1,14961069
0,22531334,3,0,1,2,93,1,3,121,1,5310554
1,22531334,1,0,14,2,94,30,1,117,1,149521495
